,Product Title,Price,Image,Product URL,Site
77,Baseus Horizontal Data Cable Type-C to Lightning iPhone PD 18W,Tk 890,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_horizontal_data_cable_type-c_to_lightning_iphone_pd_18w.jpg,https://www.bdshop.com/baseus-horizontal-cable-type-c-to-lightning,BD Shop
78,Baseus CCXJ -01 Compact Super 20W Dual Port Quick Charger - Black,Tk 893,https://media.e-valy.com/cms/products/images/5e8fc47c-d834-4aa3-8814-42571de76108?h=250&w=250,https://evaly.com.bd/products/baseus-ccxj-01-compact-super-20w-dual-port-quick-charger-black-2439674,Evaly
79,Baseus CAHUB-U02 Round Box 4 in 1 HUB Adapter (USB 3.0 to USB 3.0 x 1 + USB 2.0 x 3),Tk 900,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_cahub-u02_round_4_in_1_usb_hub.jpg,https://www.bdshop.com/baseus-cahub-u02-4-in-1-hub,BD Shop
80,Baseus CAHUB-U01 Round Box 4 in 1 HUB Adapter (USB 3.0 to USB 3.0 x 1 + USB 2.0 x 3),Tk 900,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_cahub-u01_round_4_in_1_usb_hub.jpg,https://www.bdshop.com/baseus-cahub-u01-4-in-1-hub,BD Shop
81,Baseus Mini Clip Lamp Comfort Reading USB Led Light - Grey,Tk 906,https://media.e-valy.com/cms/products/images/0f9868c1-3238-4461-be3c-3c5dcdefed8b?h=250&w=250,https://evaly.com.bd/products/baseus-mini-clip-lamp-comfort-reading-usb-led-light-black-3975849,Evaly
82,Baseus Comfort Reading Mini Clip Lamp - Black,Tk 924,https://media.e-valy.com/cms/products/images/f4521563-92aa-4098-a65e-4c0e3f7095c3?h=250&w=250,https://evaly.com.bd/products/baseus-comfort-reading-mini-clip-lamp-black-3720916,Evaly
83,Baseus Wireless Bluetooth AUX Audio Receiver - Black,Tk 926,https://media.e-valy.com/cms/products/images/91fa76f6-76be-4b12-8c75-04242d4fa3db?h=250&w=250,https://evaly.com.bd/products/baseus-wireless-bluetooth-aux-audio-receiver-black-9959026,Evaly
84,Baseus Comfort Reading Mini Clip Lamp - Black,Tk 927,https://media.e-valy.com/cms/products/images/df7867e0-2a96-45aa-9365-8e055716bf8b?h=250&w=250,https://evaly.com.bd/products/baseus-comfort-reading-mini-clip-lamp-black-1646273,Evaly
85,Edifier P275 In-Ear Earphone with Mic,Tk 950,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/1/_/edifier-p275-in-ear-earphone-with-mic-in-bd-at-bdshopcom.png,https://www.bdshop.com/edifier-p275-in-ear-earphone-with-mic,BD Shop
86,"Baseus Type-C to Lightning Cable Explorer Series (Auto Power-Off, Fast Charging, Data PD Cable, Type-C to IP 20W)",Tk 950,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus-cable-type-c-to-lightning-explorer-series.jpg,https://www.bdshop.com/baseus-type-c-to-lightning-cable,BD Shop
87,Baseus 66W Display Fast Charging Data Cable USB to Type-C,Tk 990,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_66w_data_cable_usb_to_type-c.jpg,https://www.bdshop.com/baseus-66w-display-cable-usb-to-type-c,BD Shop
88,Remax RM-305M Black Metal Earphone,Tk 1000,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/r/e/remax_rm-305m_black_metal_earphone.jpg,https://www.bdshop.com/remax-rm-305m-earphone,BD Shop
89,Baseus Heyo Camera Detector Mini Travel Hotel Hidden Camera Finder Spy - Black,Tk 1040,https://media.e-valy.com/cms/products/images/8a3b00c0-ddfe-4e5b-b348-5c45b7cd4cb1?h=250&w=250,https://evaly.com.bd/products/baseus-heyo-camera-detector-mini-travel-hotel-hidden-camera-finder-spy-black-8204135,Evaly
90,Baseus NGA02-0V Gold Mini Wireless Bluetooth Earphone,Tk 1050,https://www.bdshop.com/pub/media/catalog/product/cache/a762498fd6e92192d841c2d6c87195e8/b/a/baseus_encok_mini_wireless_earphone_a02.jpg,https://www.bdshop.com/baseus-nga02-bluetooth-earphone,BD Shop
